Index,feature name
952,GBP3
953,GBP1
954,GBP2
955,GBP7
956,GBP4
957,GBP5
958,LRRC8B
959,RP5-1007M22.2
960,LRRC8C
961,RP5-943J3.2
962,LRRC8D
963,ZNF326
964,RP4-665J23.1
965,ZNF644
966,HFM1
967,CDC7
968,TGFBR3
969,BRDT
970,EPHX4
971,BTBD8
972,KIAA1107
973,GLMN
974,RPAP2
975,GFI1
976,EVI5
977,RPL5
978,FAM69A
979,MTF2
980,TMED5
981,CCDC18
982,DR1
983,FNBP1L
984,BCAR3
985,RP4-561L24.3
986,DNTTIP2
987,GCLM
988,ABCA4
989,ARHGAP29
990,RP11-148B18.3
991,ABCD3
992,F3
993,LINC01057
994,SLC44A3
995,CNN3
996,RP4-639F20.1
997,ALG14
998,TMEM56
999,RP11-57H12.3
1000,RWDD3
1001,RP11-286B14.1
1002,RP11-286B14.2
1003,PTBP2
1004,DPYD
1005,SNX7
1006,LPPR5
1007,LPPR4
1008,RP11-413P11.1
1009,PALMD
1010,FRRS1
1011,AGL
1012,RP5-884G6.2
1013,SLC35A3
1014,HIAT1
1015,SASS6
1016,TRMT13
1017,LRRC39
1018,DBT
1019,RP11-305E17.6
1020,RTCA
1021,CDC14A
1022,GPR88
1023,VCAM1
1024,EXTL2
1025,RP4-549L20.3
1026,SLC30A7
1027,DPH5
1028,AC093157.1
1029,RP11-421L21.2
1030,RP11-421L21.3
1031,RP4-575N6.4
1032,S1PR1
1033,OLFM3
1034,COL11A1
1035,RNPC3
1036,AMY2B
1037,AMY1A
1038,AMY1B
1039,RP11-364B6.1
1040,PRMT6
1041,NTNG1
1042,VAV3
1043,VAV3-AS1
1044,RP11-356N1.2
1045,SLC25A24
1046,RP11-483I13.5
1047,FAM102B
1048,HENMT1
1049,PRPF38B
1050,STXBP3
1051,AKNAD1
1052,SPATA42
1053,GPSM2
1054,CLCC1
1055,WDR47
1056,TAF13
1057,RP5-1065J22.8
1058,TMEM167B
1059,SCARNA2
1060,C1orf194
1061,KIAA1324
1062,SARS
1063,CELSR2
1064,PSRC1
1065,MYBPHL
1066,SORT1
1067,PSMA5
1068,SYPL2
1069,ATXN7L2
1070,CYB561D1
1071,AMIGO1
1072,GNAI3
1073,RP5-1160K1.3
1074,AMPD2
1075,GSTM4
1076,GSTM2
1077,GSTM1
1078,AC000032.2
1079,GSTM5
1080,RP4-735C1.4
1081,GSTM3
1082,CSF1
1083,AHCYL1
1084,STRIP1
1085,RP4-773N10.4
1086,ALX3
1087,SLC6A17
1088,KCNC4
1089,RP5-1074L1.1
1090,RBM15
1091,SLC16A4
1092,RP5-1074L1.4
1093,LAMTOR5-AS1
1094,LAMTOR5
1095,KCNA2
1096,RP11-284N8.3
1097,KCNA3
1098,CD53
1099,RP11-96K19.2
1100,LRIF1
1101,RP11-96K19.5
1102,DRAM2
1103,CEPT1
1104,RP5-1180E21.4
1105,RP5-1180E21.5
1106,DENND2D
1107,CHI3L2
1108,PIFO
1109,OVGP1
1110,WDR77
1111,ATP5F1
1112,C1orf162
1113,ADORA3
1114,RAP1A
1115,LINC01160
1116,FAM212B
1117,FAM212B-AS1
1118,DDX20
1119,KCND3
1120,RP11-88H9.2
1121,RP5-965F6.2
1122,CTTNBP2NL
1123,WNT2B
1124,RP4-671G15.2
1125,ST7L
1126,CAPZA1
1127,MOV10
1128,RP11-426L16.3
1129,RHOC
1130,PPM1J
1131,FAM19A3
1132,RP11-426L16.8
1133,RP3-522D1.1
1134,SLC16A1
1135,SLC16A1-AS1
1136,RP11-389O22.1
1137,RP11-31F15.2
1138,LRIG2
1139,MAGI3
1140,PHTF1
1141,RSBN1
1142,PTPN22
1143,AP4B1-AS1
1144,BCL2L15
1145,AP4B1
1146,DCLRE1B
1147,RP5-1073O3.7
1148,HIPK1
1149,OLFML3
1150,SYT6
1151,TRIM33
1152,BCAS2
1153,DENND2C
1154,AMPD1
1155,NRAS
